Country,ActorName,ActorType,AffiliationTo,AffiliationStartDate,AffiliationEndDate,Aliases
Albania,Hektor FrashÃ«ri,Individual,Justice / Law Ministry (Albania),12/4/1994,7/11/1996,Hektor Frasheri
Albania,Hekuran Isai,Individual,Elite (Albania),7/9/1990,EOT,Hekuran Isai
Albania,Hekuran Isai,Individual,Interior / Home Ministry (Albania),7/9/1990,2/22/1991,Hekuran Isai
Albania,Human Rights Union Party,Group,(National) Minor Party (Albania),BOT,EOT,Human Rights Union Party
Albania,Human Rights Union Party,Group,Human Rights NGOs (Albania),BOT,EOT,Human Rights Union Party
Albania,Igli Toska,Individual,Elite (Albania),10/25/2003,EOT,Igli Toska
Albania,Igli Toska,Individual,Interior / Home Ministry (Albania),10/25/2003,9/11/2005,Igli Toska
Albania,Ilir BoÃ§ka,Individual,Elite (Albania),12/18/1991,EOT,Ilir Bocka
Albania,Ilir BoÃ§ka,Individual,Foreign Ministry (Albania),12/18/1991,4/13/1992,Ilir Bocka
Albania,Ilir Gjoni,Individual,Cabinet (Albania),7/7/2000,2/22/2002,Ilir Gjoni
Albania,Ilir Gjoni,Individual,Government (Ministry of Defense),7/7/2000,11/8/2000,Ilir Gjoni
Albania,Ilir Gjoni,Individual,Government (Ministry of Interior Affairs),11/8/2000,2/22/2002,Ilir Gjoni
Albania,Ilir Gjoni,Individual,Ministry of Public Order,11/8/2000,2/22/2002,Ilir Gjoni
Albania,Ilir Gjoni,Individual,Socialist Party of Albania,BOT,EOT,Ilir Gjoni
Albania,Ilir Gjoni,Individual,United Nations,1/1/1997,8/31/1999,Ilir Gjoni
Albania,Ilir Meta,Individual,Elite (Albania),BOT,EOT,Ilir Meta ; Ilir Rexhep Meta
Albania,Ilir Meta,Individual,Executive Office (Albania),10/29/1999,2/22/2002,Ilir Meta ; Ilir Rexhep Meta
Albania,Ilir Meta,Individual,Foreign Ministry (Ministry of Foreign Affairs),7/31/2002,7/29/2003,Ilir Meta ; Ilir Rexhep Meta
Albania,Ilir Meta,Individual,Foreign Ministry (Ministry of Foreign Affairs),9/17/2009,9/17/2010,Ilir Meta ; Ilir Rexhep Meta
Albania,Ilir Meta,Individual,Government (Albania),10/29/1999,2/22/2002,Ilir Meta ; Ilir Rexhep Meta
Albania,Ilir Meta,Individual,Ministry of Economy Trade and Energy,9/17/2010,1/14/2011,Ilir Meta ; Ilir Rexhep Meta
Albania,Ilir Panda,Individual,Elite (Albania),5/30/1999,EOT,Ilir Panda
Albania,Ilir Panda,Individual,Justice / Law Ministry (Albania),5/30/1999,7/7/2000,Ilir Panda
Albania,Ilir Rusmali,Individual,Elite (Albania),3/20/2007,EOT,Ilir Rusmali
Albania,Ilir Rusmali,Individual,Justice / Law Ministry (Albania),3/20/2007,11/24/2007,Ilir Rusmali
Albania,Isamedin Haxhia,Individual,Criminals / Gangs (Albania),BOT,EOT,I Haxhia ; Isamedin Haxhia ; I. Haxhia
Albania,Ismail Lleshi,Individual,Cabinet (Albania),11/8/2000,9/12/2001,Ismail Lleshi
Albania,Ismail Lleshi,Individual,Government (Ministry of Defense),11/8/2000,9/12/2001,Ismail Lleshi
